"Time (s) Run #1","Position (m) Run #1"
59.950,0.6014
60.000,0.5894
60.050,0.5716
60.100,0.5490
60.150,0.5223
60.200,0.4917
60.250,0.4569
60.300,0.4226
60.350,0.3881
60.400,0.3526
60.450,0.3210
60.500,0.2923
60.550,0.2659
60.600,0.2461
60.650,0.2328
60.700,0.2248
60.750,0.2230
60.800,0.2272
60.850,0.2378
60.900,0.2534
60.950,0.2749
61.000,0.3030
61.050,0.3332
61.100,0.3679
61.150,0.4013
61.200,0.4361
61.250,0.4718
61.300,0.5040
61.350,0.5331
61.400,0.5580
61.450,0.5786
61.500,0.5939
61.550,0.6039
61.600,0.6081
61.650,0.6062
61.700,0.5987
61.750,0.5854
61.800,0.5668
61.850,0.5437
61.900,0.5162
61.950,0.4851
62.000,0.4523
62.050,0.4160
62.100,0.3821
62.150,0.3490
62.200,0.3158
62.250,0.2880
62.300,0.2647
62.350,0.2446
62.400,0.2319
62.450,0.2250
62.500,0.2244
62.550,0.2298
62.600,0.2416
62.650,0.2583
62.700,0.2825
62.750,0.3095
62.800,0.3420
62.850,0.3747
62.900,0.4085
62.950,0.4430
63.000,0.4783
63.050,0.5095
63.100,0.5378
63.150,0.5618
63.200,0.5814
63.250,0.5957
63.300,0.6045
63.350,0.6073
63.400,0.6044
63.450,0.5956
63.500,0.5813
63.550,0.5620
63.600,0.5379
63.650,0.5099
63.700,0.4786
63.750,0.4434
63.800,0.4090
63.850,0.3752
63.900,0.3426
63.950,0.3103
64.000,0.2835
64.050,0.2593
64.100,0.2423
64.150,0.2309
64.200,0.2251
64.250,0.2257
64.300,0.2325
64.350,0.2452
64.400,0.2652
64.450,0.2883
64.500,0.3160
64.550,0.3490
64.600,0.3823
64.650,0.4155
64.700,0.4517
64.750,0.4845
64.800,0.5152
64.850,0.5425
64.900,0.5654
64.950,0.5840
65.000,0.5971
65.050,0.6045
65.100,0.6065
65.150,0.6022
65.200,0.5924
65.250,0.5771
65.300,0.5567
65.350,0.5319
65.400,0.5032
65.450,0.4716
65.500,0.4362
65.550,0.4021
65.600,0.3688
65.650,0.3344
65.700,0.3049
65.750,0.2790
65.800,0.2560
65.850,0.2399
65.900,0.2300
65.950,0.2256
66.000,0.2276
66.050,0.2351
66.100,0.2488
66.150,0.2679
66.200,0.2938
66.250,0.3222
66.300,0.3555
66.350,0.3886
66.400,0.4225
66.450,0.4559
66.500,0.4902
66.550,0.5204
66.600,0.5470
66.650,0.5689
66.700,0.5863
66.750,0.5982
66.800,0.6046
66.850,0.6051
66.900,0.5998
66.950,0.5890
67.000,0.5726
67.050,0.5514
67.100,0.5258
67.150,0.4963
67.200,0.4647
67.250,0.4293
67.300,0.3955
67.350,0.3624
67.400,0.3310
67.450,0.3001
67.500,0.2750
67.550,0.2532
67.600,0.2385
67.650,0.2293
67.700,0.2263
67.750,0.2293
67.800,0.2384
67.850,0.2534
67.900,0.2753
67.950,0.3001
68.000,0.3291
68.050,0.3626
68.100,0.3959
